word,tags1
날아다니다,TOPIK 1
날짜,TOPIK 1
남,TOPIK 1
남기다,TOPIK 1
남녀,TOPIK 1
남다,TOPIK 1
남대문,TOPIK 1
남동생,TOPIK 1
남산,TOPIK 1
남성,TOPIK 1
남자,TOPIK 1
남쪽,TOPIK 1
남편,TOPIK 1
남학생,TOPIK 1
낫다,TOPIK 1
낮,TOPIK 1
낮다,TOPIK 1
낮잠,TOPIK 1
내과,TOPIK 1
내년,TOPIK 1
내다,TOPIK 1
내려가다,TOPIK 1
내려오다,TOPIK 1
내리다,TOPIK 1
내용,TOPIK 1
내일,TOPIK 1
냄비,TOPIK 1
냄새,TOPIK 1
냉면,TOPIK 1
냉장고,TOPIK 1
너,TOPIK 1
너무,TOPIK 1
너희,TOPIK 1
넓다,TOPIK 1
넘다,TOPIK 1
넘어지다,TOPIK 1
넣다,TOPIK 1
네,TOPIK 1
넥타이,TOPIK 1
넷,TOPIK 1
넷째,TOPIK 1
년,TOPIK 1
노란색,TOPIK 1
노랗다,TOPIK 1
노래,TOPIK 1
노래방,TOPIK 1
노력,TOPIK 1
노인,TOPIK 1
노트,TOPIK 1
녹색,TOPIK 1
녹차,TOPIK 1
놀다,TOPIK 1
놀라다,TOPIK 1
놀이,TOPIK 1
농구,TOPIK 1
농담,TOPIK 1
높다,TOPIK 1
높이,TOPIK 1
놓다,TOPIK 1
누구,TOPIK 1
누나,TOPIK 1
누르다,TOPIK 1
눈,TOPIK 1
눈물,TOPIK 1
눕다,TOPIK 1
뉴스,TOPIK 1
느끼다,TOPIK 1
느낌,TOPIK 1
느리다,TOPIK 1
늘,TOPIK 1
늘다,TOPIK 1
늙다,TOPIK 1
능력,TOPIK 1
늦다,TOPIK 1
다,TOPIK 1
다녀오다,TOPIK 1
다니다,TOPIK 1
다르다,TOPIK 1
다른,TOPIK 1
다리,TOPIK 1
다림질,TOPIK 1
다섯,TOPIK 1
다섯째,TOPIK 1
다시,TOPIK 1
다양,TOPIK 1
다음,TOPIK 1
다음날,TOPIK 1
다이어트,TOPIK 1
다치다,TOPIK 1
다하다,TOPIK 1
닦다,TOPIK 1
단순,TOPIK 1
단어,TOPIK 1
단추,TOPIK 1
단풍,TOPIK 1
닫다,TOPIK 1
달,TOPIK 1
달걀,TOPIK 1
달력,TOPIK 1
달리기,TOPIK 1
닭,TOPIK 1
닭고기,TOPIK 1
닮다,TOPIK 1
담배,TOPIK 1
답,TOPIK 1
답답하다,TOPIK 1
답장,TOPIK 1
대구,TOPIK 1
대답,TOPIK 1
대부분,TOPIK 1
대사관,TOPIK 1
대전,TOPIK 1
대학,TOPIK 1
대학교,TOPIK 1
대학생,TOPIK 1
대학원,TOPIK 1
대화,TOPIK 1
대회,TOPIK 1
댁,TOPIK 1
더,TOPIK 1
더럽다,TOPIK 1
더욱,TOPIK 1
덕분,TOPIK 1
던지다,TOPIK 1
덥다,TOPIK 1
데려가다,TOPIK 1
데려오다,TOPIK 1
데이트,TOPIK 1
도서관,TOPIK 1
도시,TOPIK 1
도와주다,TOPIK 1
도움,TOPIK 1
도착,TOPIK 1
독서,TOPIK 1
독일,TOPIK 1
돈,TOPIK 1
돈가스,TOPIK 1
돌,TOPIK 1
돌다,TOPIK 1
돌려주다,TOPIK 1
돌리다,TOPIK 1
돌아가다,TOPIK 1
돌아오다,TOPIK 1
돕다,TOPIK 1
동네,TOPIK 1
동대문,TOPIK 1
동물,TOPIK 1
동물원,TOPIK 1
동생,TOPIK 1
동시,TOPIK 1
동안,TOPIK 1
동전,TOPIK 1
동쪽,TOPIK 1
돼지,TOPIK 1
돼지고기,TOPIK 1
되다,TOPIK 1
-되다,TOPIK 1
